Running 10m test @ http://localhost:9999/math/plus?x=1&y=2
  16 threads and 400 connections
  Thread calibration: mean lat.: 2.200ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.242ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.241ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.160ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.394ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.287ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.271ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.103ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.170ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.128ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.227ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.248ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.081ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.255ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.206ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.280ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     1.54ms    2.33ms 109.31ms   96.11%
    Req/Sec     1.32k   353.52     4.80k    68.54%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.10ms
 75.000%    1.63ms
 90.000%    2.54ms
 99.000%   11.25ms
 99.900%   30.98ms
 99.990%   50.56ms
 99.999%   83.01ms
100.000%  109.38ms

  Detailed Percentile spectrum:
      63.199     0.999963     11797079     27306.67
      66.367     0.999969     11797149     32768.00
      68.159     0.999973     11797185     36408.89
      70.079     0.999976     11797221     40960.00
      72.063     0.999979     11797257     46811.43
      74.367     0.999982     11797294     54613.33
      76.607     0.999985     11797329     65536.00
      77.887     0.999986     11797347     72817.78
      79.295     0.999988     11797365     81920.00
      82.111     0.999989     11797383     93622.86
      83.903     0.999991     11797402    109226.67
      85.567     0.999992     11797420    131072.00
      87.359     0.999993     11797428    145635.56
      89.023     0.999994     11797437    163840.00
      90.303     0.999995     11797446    187245.71
      91.391     0.999995     11797455    218453.33
      93.823     0.999996     11797464    262144.00
      94.655     0.999997     11797469    291271.11
      95.359     0.999997     11797473    327680.00
      96.191     0.999997     11797478    374491.43
      97.087     0.999998     11797482    436906.67
      99.135     0.999998     11797487    524288.00
     100.223     0.999998     11797489    582542.22
     100.863     0.999998     11797491    655360.00
     101.247     0.999999     11797494    748982.86
     101.823     0.999999     11797496    873813.33
     102.463     0.999999     11797498   1048576.00
     102.847     0.999999     11797499   1165084.44
     103.231     0.999999     11797500   1310720.00
     103.615     0.999999     11797502   1497965.71
     104.639     0.999999     11797503   1747626.67
     104.703     1.000000     11797504   2097152.00
     104.703     1.000000     11797504   2330168.89
     105.151     1.000000     11797505   2621440.00
     105.407     1.000000     11797506   2995931.43
     105.407     1.000000     11797506   3495253.33
     105.727     1.000000     11797507   4194304.00
     105.727     1.000000     11797507   4660337.78
     105.727     1.000000     11797507   5242880.00
     107.135     1.000000     11797508   5991862.86
     107.135     1.000000     11797508   6990506.67
     107.135     1.000000     11797508   8388608.00
     107.135     1.000000     11797508   9320675.55
     107.135     1.000000     11797508  10485760.00
     109.375     1.000000     11797509  11983725.71
     109.375     1.000000     11797509          inf
#[Mean    =        1.537, StdDeviation   =        2.330]
#[Max     =      109.312, Total count    =     11797509]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  11998817 requests in 10.00m, 2.00GB read
Requests/sec:  19997.98
Transfer/sec:      3.41MB
